dataset_index,stops,load,len_m,cost_m,energy_net_Wh,energy_gross_Wh,energy_regen_Wh,charge_cnt,charge_time_h,feasible,dataset_index
28,216,297,15679.90769,15749.29545,4027.061284,4466.110999,536.041925,0,0,True,28
29,228,300,20814.79964,20876.10737,5141.324162,5364.350284,224.566425,0,0,True,29
29,185,300,15637.51625,15663.41473,3694.196317,3748.100131,53.90381362,0,0,True,29
29,199,300,23587.53926,23664.58341,5969.456036,6346.723868,399.7593938,0,0,True,29
29,256,300,34289.91069,34315.98192,8137.250932,8258.78374,123.2438246,0,0,True,29
29,293,300,27615.85999,27663.6864,6516.994778,6656.621052,139.8935799,0,0,True,29
29,197,300,20876.82419,20968.5749,5120.626359,5403.967991,290.0311459,0,0,True,29
29,222,300,18190.05116,18259.65942,4448.880298,4587.553814,140.0736512,0,0,True,29
29,80,300,14541.89278,14568.46706,3415.784792,3463.891691,48.10689955,0,0,True,29
29,179,300,22960.51369,23020.5538,5448.043068,5545.359741,97.31667225,0,0,True,29
29,232,300,32135.11242,32261.22079,8223.528235,8434.543456,229.854884,0,0,True,29
29,247,300,23570.95224,23649.22505,5648.652727,5854.078772,209.4329396,0,0,True,29
29,185,300,26192.90279,26273.64331,6664.394229,6968.870675,312.3437238,0,0,True,29
29,193,300,15376.63015,15398.7195,3631.619066,3693.773363,62.16355031,0,0,True,29
29,250,300,20841.65177,20866.13617,4990.792141,5060.327023,69.53488178,0,0,True,29
29,254,300,28518.14169,28361.79971,6905.781383,7186.864201,287.8104764,0,0,True,29
29,73,84,13199.00804,13285.64483,3707.310499,4036.668078,365.3386235,0,0,True,29
29,237,286,32682.33674,32468.09612,8084.679488,8409.777785,340.8961849,0,0,True,29
29,252,300,28053.69589,27886.43848,6937.329294,7324.868159,411.6043897,0,0,True,29
29,260,300,31154.8015,31214.64701,7342.312849,7468.466646,126.3587429,0,0,True,29
29,228,300,26726.58532,26794.36871,6532.96834,6699.604902,169.902998,0,0,True,29
29,164,300,27723.0204,27777.66904,6571.084611,6696.495238,127.1450226,0,0,True,29
29,169,300,22569.85708,22397.68536,6259.12773,6624.457563,403.5524441,0,0,True,29
29,126,300,15915.07563,15870.88394,3813.774827,4025.678413,213.8890393,0,0,True,29
29,226,300,36550.30606,36612.84473,8616.362086,8791.574495,175.230071,0,0,True,29
29,215,300,23144.53055,23277.33199,5743.388826,5988.526324,257.0563126,0,0,True,29
29,261,300,19763.42694,19811.9618,4702.799778,4770.524597,68.1975364,0,0,True,29
